LangID,CountryID,Name
aaa,NG,Ghotuo
aab,NG,Alumu-Tesu
aac,PG,Ari
aad,PG,Amal
aae,IT,"Albanian, Arbëreshë"
aaf,IN,Aranadan
aag,PG,Ambrak
aah,PG,"Arapesh, Abu’"
aai,PG,Miniafia Oyan
aak,PG,Ankave
aal,CM,Afade
aan,BR,Anambé
aao,DZ,"Arabic, Algerian Saharan Spoken"
aap,BR,"Arára, Pará"
aaq,US,"Abenaki, Eastern"
aar,ET,Afar
aas,TZ,Aasáx
aat,GR,"Albanian, Arvanitika"
aau,PG,Abau
aaw,PG,Solong
aax,ID,Mandobo Atas
aaz,ID,Amarasi
aba,CI,Abé
abb,CM,Bankon
abc,PH,"Ayta, Ambala"
abd,PH,Manide
abe,CA,"Abenaki, Western"
abf,MY,Abai Sungai
abg,PG,Abaga
abh,TJ,"Arabic, Tajiki Spoken"
abi,CI,Abidji
abj,IN,Aka-Bea
abk,GE,Abkhaz
abl,ID,Lampung Nyo
abm,NG,Abanyom
abn,NG,Abua
abo,NG,Abon
abp,PH,"Ayta, Abellen"
abq,RU,Abaza
abr,GH,Abron
abs,ID,"Malay, Ambonese"
abt,PG,Ambulas
abu,CI,Abure
abv,BH,"Arabic, Baharna Spoken"
abw,PG,Pal
abx,PH,Inabaknon
aby,PG,Aneme Wake
abz,ID,Abui
aca,CO,Achagua
acb,NG,Áncá
acd,GH,Gikyode
ace,ID,Aceh
acf,LC,Saint Lucian Creole French
ach,UG,Acholi
aci,IN,Aka-Cari
ack,IN,Aka-Kora
acl,IN,Akar-Bale
acm,IQ,"Arabic, Mesopotamian Spoken"
acn,CN,Achang
acp,NG,"Acipa, Eastern"
acq,YE,"Arabic, Ta’izzi-Adeni Spoken"
acr,GT,Achi
acs,BR,Acroá
act,NL,Achterhoeks
acu,EC,Achuar-Shiwiar
acv,US,Achumawi
acw,SA,"Arabic, Hijazi Spoken"
acx,OM,"Arabic, Omani Spoken"
acy,CY,"Arabic, Cypriot Spoken"
acz,SD,Acheron
ada,GH,Dangme
adb,TL,Adabe
add,CM,Dzodinka
ade,TG,Adele
adf,OM,"Arabic, Dhofari Spoken"
adg,AU,Andegerebinha
adh,UG,Adhola
adi,IN,Adi
adj,CI,Adioukrou
adl,IN,"Adi, Galo"
adn,ID,Adang
ado,PG,Abu
adq,GH,Adangbe
adr,ID,Adonara
ads,GH,Adamorobe Sign Language
adt,AU,Adnyamathanha
adu,NG,Aduge
adw,BR,Amundava
adx,CN,"Tibetan, Amdo"
ady,RU,Adyghe
adz,PG,Adzera
aea,AU,Areba
aeb,TN,"Arabic, Tunisian Spoken"
aec,EG,"Arabic, Sa’idi Spoken"
aed,AR,Argentine Sign Language
aee,AF,"Pashai, Northeast"
aek,NC,Haeke
ael,CM,Ambele
aem,VN,Arem
aen,AM,Armenian Sign Language
aeq,PK,Aer
aer,AU,"Arrernte, Eastern"
aeu,CN,Akeu
aew,PG,Ambakich
aey,PG,Amele
aez,PG,Aeka
afb,KW,"Arabic, Gulf Spoken"
afd,PG,Andai
afe,NG,Utugwang-Irungene-Afrike
afg,AF,Afghan Sign Language
afi,PG,Chini
afk,PG,Nanubae
afn,NG,Defaka
afo,NG,Eloyi
afp,PG,Tapei
afr,ZA,Afrikaans
afs,MX,Afro-Seminole Creole
aft,SD,Afitti
afu,GH,Awutu
afz,ID,Obokuitai
aga,PE,Aguano
agb,NG,Legbo
agc,NG,Agatu
agd,PG,Agarabi
age,PG,Angal
agf,ID,Arguni
agg,PG,Angor
agh,CD,Ngelima
agi,IN,Agariya
agj,ET,Argobba
agk,PH,"Agta, Isarog"
agl,PG,Fembe
agm,PG,Angaataha
agn,PH,Agutaynen
ago,PG,Tainae
agq,CM,Aghem
agr,PE,Awajún
ags,CM,Esimbi
agt,PH,"Agta, Central Cagayan"
agu,GT,Awakateko
agv,PH,"Dumagat, Remontado"
agw,SB,Kahua
agx,RU,Aghul
agy,PH,"Alta, Southern"
agz,PH,"Agta, Mt. Iriga"
aha,GH,Ahanta
ahb,VU,Axamb
ahg,ET,Qimant
ahh,ID,Aghu
ahi,CI,"Aizi, Tiagbamrin"
ahk,MM,Akha
ahl,TG,Igo
ahm,CI,"Aizi, Mobumrin"
ahn,NG,Àhàn
aho,IN,Ahom
ahp,CI,"Aizi, Aproumu"
ahr,IN,Ahirani
ahs,NG,Ashe
aht,US,Ahtena
aia,SB,Arosi
aib,CN,Ainu
aic,PG,Ainbai
aid,AU,Alngith
aie,PG,Amara
aif,PG,Agi
aig,AG,Antigua and Barbuda Creole English
aih,CN,Ai-Cham
aii,IQ,Assyrian Neo-Aramaic
aij,IL,Lishanid Noshan
aik,NG,Ake
ail,PG,Aimele
aim,IN,Aimol
ain,JP,Ainu
aio,IN,Aiton
aip,ID,Burumakok
aiq,AF,Aimaq
air,ID,Airoran
ais,TW,"Amis, Nataoran"
ait,BR,Arikem
aiw,ET,Aari
aix,PG,Aighon
aiy,CF,Ali
aja,SS,Aja
ajg,BJ,Aja
aji,NC,Ajië
ajn,AU,Andajin
ajp,JO,"Arabic, South Levantine Spoken"
ajt,IL,"Arabic, Judeo-Tunisian"
aju,IL,"Arabic, Judeo-Moroccan"
ajw,NG,Ajawa
ajz,IN,Amri Karbi
aka,GH,Akan
akb,ID,Batak Angkola
akc,ID,Mpur
akd,NG,Ukpet-Ehom
ake,GY,Akawaio
akf,NG,Akpa
akg,ID,Anakalangu
akh,PG,Angal Heneng
aki,PG,Aiome
akj,IN,Aka-Jeru
akl,PH,Inakeanon
akm,IN,Aka-Bo
ako,SR,Akurio
akp,GH,Siwu
akq,PG,Ak
akr,VU,Araki
aks,TG,Akaselem
akt,PG,Akolet
aku,CM,Akum
akv,RU,Akhvakh
akw,CG,Akwa
akx,IN,Aka-Kede
aky,IN,Aka-Kol
akz,US,Alabama
ala,NG,Alago
alc,CL,Qawasqar
ald,CI,Alladian
ale,US,Aleut
alf,NG,Alege
alh,AU,Alawa
ali,PG,Amaimon
alj,PH,Alangan
alk,LA,Alak
all,IN,Allar
alm,VU,Amblong
aln,AL,"Albanian, Gheg"
alo,ID,Larike-Wakasihu
alp,ID,Alune
alq,CA,Algonquin
alr,RU,Alutor
als,AL,"Albanian, Tosk"
alt,RU,"Altai, Southern"
alw,ET,Alaba-K’abeena
alx,PG,Amol
aly,AU,Alyawarr
alz,CD,Alur
ama,BR,Amanayé
amb,NG,Ambo
amc,PE,Amahuaca
ame,PE,Yanesha’
amf,ET,Hamer-Banna
amg,AU,Amurdak
amh,ET,Amharic
ami,TW,Amis
amj,TD,Amdang
amk,ID,Ambai
aml,BD,War-Jaintia
amm,PG,Ama
amn,PG,Amanab
amo,NG,Amo
amp,PG,Alamblak
amq,ID,Amahai
amr,PE,Amarakaeri
ams,JP,"Amami-Oshima, Southern"
amt,PG,Amto
amu,MX,"Amuzgo, Guerrero"
amv,ID,Ambelau
amw,SY,Western Neo-Aramaic
amx,AU,Anmatyerre
amy,AU,Ami
amz,AU,Atampaya
ana,CO,Andaqui
anb,PE,Andoa
anc,NG,Ngas
and,ID,Ansus
ane,NC,Xârâcùù
anf,GH,Animere
anh,PG,Nend
ani,RU,Andi
anj,PG,Anor
ank,NG,Goemai
anl,MM,"Chin, Anu-Hkongso"
anm,IN,Anal
ann,NG,Obolo
ano,CO,Andoque
anp,IN,Angika
anq,IN,Jarawa
anr,IN,Andh
ans,CO,Anserma
ant,AU,Antakarinya
anu,SS,Anuak
anv,CM,Denya
anw,NG,Anaang
anx,PG,Andra-Hus
any,CI,Anyin
anz,PG,Anem
aoa,ST,Angolar
aob,PG,Abom
aoc,VE,Pemon
aod,PG,Andarum
aoe,PG,Angal Enen
aof,PG,Bragat
aog,PG,Angoram
aoh,CO,Arma
aoi,AU,Anindilyakwa
aoj,PG,Mufian
aok,NC,Arhö
aol,ID,Alor
aom,PG,Ömie
aon,PG,"Arapesh, Bumbita"
aor,VU,Aore
aos,ID,Taikat
aot,IN,Atong
aou,CN,A’ou
aox,GY,Atorada
aoz,ID,Uab Meto
apb,SB,Sa’a
apc,SY,"Arabic, North Levantine Spoken"
apd,SD,"Arabic, Sudanese Spoken"
ape,PG,Bukiyip
apf,PH,"Agta, Pahanan"
apg,ID,Ampanang
aph,NP,Athpariya
api,BR,Apiaká
apj,US,"Apache, Jicarilla"
apk,US,"Apache, Kiowa"
apl,US,"Apache, Lipan"
apm,US,"Apache, Mescalero-Chiricahua"
apn,BR,Apinayé
apo,PG,Ambul
app,VU,Apma
apq,IN,A-Pucikwar
apr,PG,Arop-Lokep
aps,PG,Arop-Sissano
apt,IN,Apatani
apu,BR,Apurinã
apw,US,"Apache, Western"
apx,ID,Aputai
apy,BR,Apalaí
apz,PG,Safeyoka
aqc,RU,Archi
aqd,ML,"Dogon, Ampari"
aqg,NG,Arigidi
aqm,ID,Atohwaim
aqn,PH,"Alta, Northern"
aqr,NC,Arhâ
aqt,PY,Angaité
aqz,BR,Akuntsu
arb,SA,"Arabic, Standard"
ard,AU,Arabana
are,AU,"Arrarnta, Western"
arg,ES,Aragonese
arh,CO,Arhuaco
ari,US,Arikara
arj,BR,Arapaso
ark,BR,Arikapú
arl,PE,Arabela
arn,CL,Mapudungun
aro,BO,Araona
arp,US,Arapaho
arq,DZ,"Arabic, Algerian Spoken"
arr,BR,Karo
ars,SA,"Arabic, Najdi Spoken"
arv,ET,Arbore
arw,SR,Arawak
arx,BR,Aruá
ary,MA,"Arabic, Moroccan Spoken"
arz,EG,"Arabic, Egyptian Spoken"
asa,TZ,Asu
asb,CA,Assiniboine
asc,ID,"Asmat, Casuarina Coast"
asd,PG,Asas
ase,US,American Sign Language
asf,AU,Australian Sign Language
asg,NG,Cishingini
ash,PE,Awishira
asi,ID,Buruwai
asj,CM,Sari
ask,AF,Ashkun
asl,ID,Asilulu
asm,IN,Assamese
asn,BR,Asurini of Xingú
aso,PG,Dano
asp,DZ,Algerian Sign Language
asq,AT,Austrian Sign Language
asr,IN,Asuri
ass,CM,Ipulo
ast,ES,Asturian
asu,BR,"Asurini, Tocantins"
asv,CD,Asoa
asw,AU,Australian Aborigines Sign Language
asx,PG,Muratayak
asy,ID,"Asmat, Yaosakor"
asz,ID,As
ata,PG,Pele-Ata
atb,CN,Zaiwa
atd,PH,"Manobo, Ata"
ate,PG,Atemble
atg,NG,Ivbie North-Okpela-Arhe
ati,CI,Attié
atj,CA,Atikamekw
atk,PH,Ati
atl,PH,"Agta, Mt. Iraya"
atm,PH,Ata
atn,IR,Ashtiani
ato,CM,Atong
atp,PH,"Atta, Pudtol"
atq,ID,Aralle-Tabulahan
atr,BR,Waimiri-Atroarí
ats,US,Gros Ventre
att,PH,"Atta, Pamplona"
atu,SS,Reel
atv,RU,"Altai, Northern"
atw,US,Atsugewi
atx,BR,Arutani
aty,VU,Aneityum
atz,PH,Arta
aua,SB,Asumboa
aub,CN,Alugu
auc,EC,Waorani
aud,SB,Anuta
aug,BJ,Aguna
auh,ZM,Aushi
aui,PG,Anuki
auj,LY,Awjilah
auk,PG,Heyo
aul,VU,Aulua
aum,NG,Asu
aun,PG,"One, Molmo"
aup,PG,Makayam
auq,ID,Anus
aur,PG,Aruek
aut,PF,Austral
auu,ID,Auye
auw,ID,Awyi
aux,BR,Aurá
auy,PG,Awiyaana
auz,UZ,"Arabic, Uzbeki Spoken"
ava,RU,Avar
avb,PG,Avau
avd,IR,Alviri-Vidari
ave,IR,Avestan
avi,CI,Avikam
avl,EG,"Arabic, Eastern Egyptian Bedawi Spoken"
avm,AU,Angkamuthi
avn,GH,Avatime
avo,BR,Agavotaguerra
avs,PE,Aushiri
avt,PG,Au
avu,SS,Avokaya
avv,BR,Avá-Canoeiro
awa,IN,Awadhi
awb,PG,Awa
awc,NG,Cicipu
awe,BR,Awetí
awg,AU,Anguthimri
awh,ID,Awbono
awi,PG,Aekyom
awk,AU,Awabakal
awm,PG,Arawum
awn,ET,Awngi
awo,NG,Awak
awr,ID,Awera
aws,ID,"Awyu, South"
awt,BR,Araweté
awu,ID,"Awyu, Central"
awv,ID,"Awyu, Jair"
aww,PG,Awun
awx,PG,Awara
awy,ID,"Awyu, Edera"
axb,AR,Abipon
axe,AU,Ayerrerenge
axg,BR,"Arára, Mato Grosso"
axk,CF,Yaka
axl,AU,"Aranda, Lower Southern"
axx,NC,Xârâgurè
aya,PG,Awar
ayb,BJ,"Gbe, Ayizo"
ayc,PE,"Aymara, Southern"
ayd,AU,Ayabadhu
aye,NG,Ayere
ayg,TG,Ginyanga
ayh,YE,"Arabic, Hadrami Spoken"
ayi,NG,Leyigha
ayk,NG,Akuku
ayl,LY,"Arabic, Libyan Spoken"
ayn,YE,"Arabic, Sanaani Spoken"
ayo,PY,Ayoreo
ayp,IQ,"Arabic, North Mesopotamian Spoken"
ayq,PG,Ayi
ayr,BO,"Aymara, Central"
ays,PH,"Ayta, Sorsogon"
ayt,PH,"Ayta, Magbukun"
ayu,NG,Ayu
ayy,PH,"Ayta, Tayabas"
ayz,ID,Mai Brat
aza,CN,Azha
azb,IR,"Azerbaijani, South"
azd,MX,"Nahuatl, Eastern Durango"
azg,MX,"Amuzgo, San Pedro Amuzgos"
azj,AZ,"Azerbaijani, North"
azm,MX,"Amuzgo, Ipalapa"
azn,MX,"Nahuatl, Western Durango"
azo,CM,Awing
azt,PH,"Atta, Faire"
azz,MX,"Nahuatl, Highland Puebla"
baa,SB,Babatana
bab,GW,Bainouk-Gunyuño
bac,ID,Badui
bae,VE,Baré
baf,CM,Nubaca
bag,CM,Tuki
bah,BS,Bahamas Creole English
baj,ID,Barakai
bak,RU,Bashkort
bam,ML,Bamanankan
ban,ID,Bali
bao,CO,Waimaha
bap,NP,Bantawa
bar,AT,Bavarian
bas,CM,Basaa
bau,NG,Mbat
bav,CM,Vengo
baw,CM,Bambili-Bambui
bax,CM,Bamun
bay,ID,Batuley
bba,BJ,Baatonum
bbb,PG,Barai
bbc,ID,Batak Toba
bbd,PG,Bau
bbe,CD,Bangba
bbf,PG,Baibai
bbg,GA,Barama
bbh,CN,Bugan
bbi,CM,Barombi
bbj,CM,Ghomálá’
bbk,CM,Babanki
bbl,GE,Bats
bbm,CD,Babango
bbn,PG,Uneapa
bbo,BF,Konabéré
bbp,CF,"Banda, West Central"
bbq,CM,Bamali
bbr,PG,Girawa
bbs,NG,Bakpinka
bbt,NG,Mburku
bbu,NG,Kulung
bbv,PG,Karnai
bbw,CM,Baba
bbx,CM,Bubia
bby,CM,Befang
bbz,TD,"Arabic, Babalia Creole"
bca,CN,"Bai, Central"
bcb,SN,Bainouk-Samik
bcc,PK,"Balochi, Southern"
bcd,ID,"Babar, North"
bce,CM,Bamenyam
bcf,PG,Bamu
bcg,GN,Baga Pokur
bch,PG,Bariai
bci,CI,Baoulé
bcj,AU,Bardi
bck,AU,Bunaba
bcl,PH,"Bikol, Central"
bcm,PG,Bannoni
bcn,NG,Bali
bco,PG,Kaluli
bcp,CD,Bali
